batch,train_loss,learning_rate,grad_norm
0,7.039296627044678,0.02,1.463276116021223
1,6.729570388793945,0.02,1.7740061767659687
2,6.370830059051514,0.02,2.6725201288905702
3,5.35832405090332,0.02,4.131736344868758
4,3.796743631362915,0.02,3.8511399690852137
5,4.41814661026001,0.02,7.445914318401227
6,4.5991058349609375,0.02,7.75712530266988
7,3.6125473976135254,0.02,2.566122988485266
8,3.600252151489258,0.02,2.86513410677189
9,3.8946657180786133,0.02,3.580200622134027
10,3.897368907928467,0.02,3.6122461905136727
11,3.8395040035247803,0.02,3.637763155796784
12,3.4015953540802,0.02,1.9831912213571166
13,3.299252986907959,0.02,1.100064097569046
14,3.4668099880218506,0.02,3.285002707204573
15,3.5647993087768555,0.02,3.9631976421908397
16,3.4095840454101562,0.02,2.8523339642004353
17,3.2500977516174316,0.02,0.6521041417127015
18,3.3447930812835693,0.02,1.539488827039595
19,3.3908157348632812,0.02,2.27276395663611
20,3.369743824005127,0.02,2.238373022190242
21,3.342848300933838,0.02,2.06130186421378
22,3.2604498863220215,0.02,1.1736527194072963
23,3.239917516708374,0.02,0.6970576418063157
24,3.2725462913513184,0.02,1.370655427163051
25,3.370001792907715,0.02,1.967094823915464
26,3.2672715187072754,0.02,1.6945446966357838
27,3.2633395195007324,0.02,0.9322928503430233
28,3.237574577331543,0.02,0.4073598747336797
29,3.228706121444702,0.02,0.7614665006947882
30,3.2855448722839355,0.02,1.1040409998720482
31,3.2429680824279785,0.02,1.345795622843379
32,3.299546241760254,0.02,1.388945099635678
33,3.1837058067321777,0.02,0.6974578907530053
34,3.217061758041382,0.02,0.24712297106010006
35,3.2234768867492676,0.02,0.6795454407587342
36,3.2305808067321777,0.02,0.7870742691830303
37,3.248666763305664,0.02,1.0337397875834875
38,3.242103099822998,0.02,1.0805628024599465
39,3.210811138153076,0.02,0.7324803606582085
40,3.2196543216705322,0.02,0.2880305671977779
41,3.221890449523926,0.02,0.6091946561478314
42,3.1897687911987305,0.02,0.6670750492999675
43,3.2078933715820312,0.02,0.7157328047264812
44,3.226853370666504,0.02,0.5779371373579076
45,3.198678493499756,0.02,0.509685656110073
46,3.203277111053467,0.02,0.28533724420118384
47,3.190190315246582,0.02,0.2428612400178156
48,3.2250304222106934,0.02,0.4118743871776005
49,3.209378242492676,0.02,0.8801569397862579
50,3.2008633613586426,0.02,0.5905481935432848
51,3.219487428665161,0.02,0.5613499507208133
52,3.2103307247161865,0.02,0.296416032959646
53,3.1970529556274414,0.02,0.22061480805748426
54,3.198591947555542,0.02,0.35394072361081047
55,3.177302837371826,0.02,0.40694746270494775
56,3.2231662273406982,0.02,0.528595605083811
57,3.204291820526123,0.02,0.5793613289418214
58,3.1948087215423584,0.02,0.43319547611841436
59,3.180354118347168,0.02,0.22239971130041258
60,3.1758322715759277,0.02,0.4725503190772677
61,3.176837921142578,0.02,0.4701660321583732
62,3.1771976947784424,0.02,0.4851634016884573
63,3.171259641647339,0.02,0.3550962318085724
64,3.178893566131592,0.02,0.31265753125971707
65,3.2032060623168945,0.02,0.24509347646562882
66,3.174300193786621,0.02,0.43755731624693317
67,3.1833083629608154,0.02,0.44490790749198866
68,3.172264575958252,0.02,0.319788128790274
69,3.1861326694488525,0.02,0.39366083977298477
70,3.1736316680908203,0.02,0.2515544794871981
71,3.207726240158081,0.02,0.2871835829597637
72,3.174281597137451,0.02,0.3089453301489088
73,3.1600232124328613,0.02,0.3220106914048082
74,3.137749433517456,0.02,0.39433814243501814
75,3.1391091346740723,0.02,0.26781748781625725
76,3.125906467437744,0.02,0.2775130076814833
77,3.1263556480407715,0.02,0.2811700143690516
78,3.1875197887420654,0.02,0.26357884228775397
79,3.130108594894409,0.02,0.25699165762466264
80,3.1523070335388184,0.02,0.3223779866379098
81,3.1147685050964355,0.02,0.30844886466796456
82,3.1703457832336426,0.02,0.3964352569947753
83,3.1488819122314453,0.02,0.26928807794826
84,3.145493984222412,0.02,0.3944186846673539
85,3.131664276123047,0.02,0.2759423061391027
86,3.1279587745666504,0.02,0.32002080122516025
87,3.1019115447998047,0.02,0.2969975917679914
88,3.124217987060547,0.02,0.30887144719176846
89,3.111429214477539,0.02,0.31564642703771423
90,3.128121852874756,0.02,0.2629392762929062
91,3.104942560195923,0.02,0.348831909817872
92,3.100991725921631,0.02,0.3335811459060274
93,3.111252784729004,0.02,0.25712483964869187
94,3.1123909950256348,0.02,0.3521579367948112
95,3.1382484436035156,0.02,0.27551739482222454
96,3.089238166809082,0.02,0.289847489486878
97,3.113450527191162,0.02,0.3710690220610176
98,3.1138510704040527,0.02,0.352851160821547
99,3.1274423599243164,0.02,0.53331812078927
100,3.094086170196533,0.02,0.35995083019704716
101,3.139347553253174,0.02,0.33163903882873175
102,3.1082723140716553,0.02,0.3343909094017577
103,3.0959417819976807,0.02,0.3706235451717181
104,3.114037275314331,0.02,0.2889359780077511
105,3.0839295387268066,0.02,0.3960577949500851
106,3.0882744789123535,0.02,0.37024580863140105
107,3.099677562713623,0.02,0.3011278266661296
108,3.0833263397216797,0.02,0.3439050679737955
109,3.0513081550598145,0.02,0.3534939612082151
110,3.0767812728881836,0.02,0.3992403673065043
111,3.0783889293670654,0.02,0.32635706217385335
112,3.10048246383667,0.02,0.34370110746853183
113,3.070518970489502,0.02,0.3776719400181896
114,3.045963764190674,0.02,0.45668667308654187
115,3.0439908504486084,0.02,0.4016919060542029
116,3.0732789039611816,0.02,0.4535532028811387
117,3.0370934009552,0.02,0.3843253903096365
118,3.0296576023101807,0.02,0.31492810828557327
119,3.0818827152252197,0.02,0.3271647076291976
120,3.0392167568206787,0.02,0.3588658772737226
121,3.0340042114257812,0.02,0.37958795069406853
122,3.070758819580078,0.02,0.36685698967627417
123,3.0686113834381104,0.02,0.36255430074800693
124,3.0646839141845703,0.02,0.35499619012555683
125,3.040837287902832,0.02,0.36643685862370057
126,3.037552833557129,0.02,0.44222711953794147
127,3.0547661781311035,0.02,0.3747434076042601
128,3.016195297241211,0.02,0.39808596011654934
129,3.0439088344573975,0.02,0.4867502447519915
130,3.041106939315796,0.02,0.39971489975574637
131,3.0114665031433105,0.02,0.40493865860167044
132,3.0000646114349365,0.02,0.4029709410054147
133,3.016310214996338,0.02,0.5228173685239489
134,3.0213265419006348,0.02,0.39471950948343265
135,2.9929518699645996,0.02,0.43822533241936507
136,3.02962064743042,0.02,0.4288114599542653
137,3.033057451248169,0.02,0.46930379582232645
138,3.0185108184814453,0.02,0.4186651681834309
139,3.0170626640319824,0.02,0.4462761313322608
140,3.0340847969055176,0.02,0.45258494912023756
141,3.0320730209350586,0.02,0.4933079192182823
