batch,train_loss,learning_rate,grad_norm
0,7.068355560302734,0.1,1.6152191242931224
1,6.573150634765625,0.1,2.176332868088143
2,5.108664512634277,0.1,4.25613647908149
3,6.146871566772461,0.1,4.999999825171682
4,3.434101104736328,0.1,1.3839845420699197
5,3.5181758403778076,0.1,2.361367352505546
6,3.801569938659668,0.1,4.437405231633203
7,4.274116039276123,0.1,3.6650157526985283
8,3.3526673316955566,0.1,1.0342204074169055
9,3.3196911811828613,0.1,1.2111777503170482
10,3.2570409774780273,0.1,0.26285321692273894
11,3.2382373809814453,0.1,0.23335233547952325
12,3.2392191886901855,0.1,0.3125596364908796
13,3.2664198875427246,0.1,0.29574918009884765
14,3.2212209701538086,0.1,0.3430407327698868
15,3.248723030090332,0.1,0.29091855655219534
16,3.1962897777557373,0.1,0.43667278106812896
17,3.2343835830688477,0.1,0.45485220013106986
18,3.2393534183502197,0.1,0.2996885626180391
19,3.194023370742798,0.1,0.32977385859241376
20,3.2079734802246094,0.1,0.321534321062616
21,3.161740779876709,0.1,0.3937988401984233
22,3.253598928451538,0.1,0.37882966868845214
23,3.1907620429992676,0.1,0.29376474931458946
24,3.1776371002197266,0.1,0.38529212770908866
25,3.19146728515625,0.1,0.529364464505029
26,3.1755428314208984,0.1,0.5075825932547644
27,3.1626546382904053,0.1,0.348162389558462
28,3.1485719680786133,0.1,0.30923124784186184
29,3.1553492546081543,0.1,0.34119609621874
30,3.1601338386535645,0.1,0.31867890656908915
31,3.1560122966766357,0.1,0.33775788232470355
32,3.1472296714782715,0.1,0.32263428649793785
33,3.1733670234680176,0.1,0.34936889065409793
34,3.149399757385254,0.1,0.4925259456098302
35,3.12345290184021,0.1,0.6693305756435471
36,3.1277592182159424,0.1,0.49746313237773176
37,3.1433911323547363,0.1,0.47672497535165453
38,3.1144461631774902,0.1,0.4329644741880368
39,3.0762734413146973,0.1,0.4015920962173573
40,3.126099109649658,0.1,0.458835831546965
41,3.113069534301758,0.1,0.5951773036904268
42,3.079850673675537,0.1,0.5917592174184079
43,3.062406539916992,0.1,0.6318458780209851
44,3.038511276245117,0.1,0.527457609454383
45,3.058030128479004,0.1,0.6543653663401893
46,3.0281729698181152,0.1,0.49929146166345495
47,3.066065788269043,0.1,0.5334254993639377
48,3.0448834896087646,0.1,0.5688506815560292
49,3.0250089168548584,0.1,0.6270535372319624
50,3.035090446472168,0.1,0.6156535323896692
51,3.0387775897979736,0.1,0.6193158984219558
52,3.0327296257019043,0.1,0.5610728438417317
53,3.0024924278259277,0.1,0.6028336534771344
54,2.9887208938598633,0.1,0.6568848309710675
55,3.0008344650268555,0.1,0.6658632400131398
56,2.9813342094421387,0.1,0.6477661798469829
57,2.9420690536499023,0.1,0.6589735618478236
58,2.9734675884246826,0.1,0.6318143482304668
59,2.949065685272217,0.1,0.6412260232127404
60,2.96728515625,0.1,0.60038354052974
61,2.937643527984619,0.1,0.602991258292027
62,2.9985830783843994,0.1,0.7178385906507101
63,2.942119598388672,0.1,0.718746944463192
64,2.965219259262085,0.1,0.6017822343871179
65,2.9827537536621094,0.1,0.680686480354091
66,2.95607852935791,0.1,0.7330325381310329
67,2.951251983642578,0.1,0.7114709295480385
68,2.912339687347412,0.1,0.6741480345637723
69,2.9475467205047607,0.1,0.7183240046090914
70,2.917369842529297,0.1,0.745232970114245
71,2.9005167484283447,0.1,0.7463817725969544
72,2.914454221725464,0.1,0.7686601385157398
73,2.8884592056274414,0.1,0.7291385967884245
74,2.868651866912842,0.1,0.818526255295657
75,2.8827409744262695,0.1,0.8009624045191799
