batch,train_loss,learning_rate,grad_norm
0,7.042377471923828,0.1,1.4809077643994593
1,6.799805641174316,0.1,1.6566099945216357
2,6.350973129272461,0.1,2.416338331868331
3,4.817098617553711,0.1,4.068478641997569
4,4.29830265045166,0.1,4.9999994943410035
5,4.760506629943848,0.1,4.999999327425158
6,3.4520487785339355,0.1,1.7728109510360166
7,3.8619768619537354,0.1,3.012968788894388
8,3.3968710899353027,0.1,1.4665947473287368
9,3.434180974960327,0.1,1.982626041029765
10,3.5827414989471436,0.1,2.6782372048797085
11,3.2796120643615723,0.1,0.5111617716042742
12,3.3381357192993164,0.1,1.1678749579561067
13,3.38425612449646,0.1,1.4335750442428548
14,3.290048837661743,0.1,0.8538128273538582
15,3.24650502204895,0.1,0.3135692395179526
16,3.3331241607666016,0.1,1.0740750200619364
17,3.2897439002990723,0.1,0.8878272632011759
18,3.2834391593933105,0.1,0.3840263301393167
19,3.255220413208008,0.1,0.5064142778406743
20,3.226799964904785,0.1,0.6594742306551596
21,3.219076633453369,0.1,0.5384443639606725
22,3.2000699043273926,0.1,0.3308457378995225
23,3.2149906158447266,0.1,0.45226814795437453
24,3.203969955444336,0.1,0.47713443216003665
25,3.2566709518432617,0.1,0.49266663508839553
26,3.1441454887390137,0.1,0.281159899574473
27,3.183842658996582,0.1,0.2794278665587848
28,3.1743876934051514,0.1,0.4083318236574258
29,3.1490468978881836,0.1,0.41431243293957226
30,3.1794919967651367,0.1,0.3082451350642124
31,3.1068027019500732,0.1,0.2836871986440432
32,3.1624791622161865,0.1,0.3218525696740069
33,3.087630033493042,0.1,0.3913766177085504
34,3.1196746826171875,0.1,0.38396103974572904
35,3.109025001525879,0.1,0.3684367197743632
36,3.0858261585235596,0.1,0.3495102198328142
37,3.0971603393554688,0.1,0.3404487427620236
38,3.0711183547973633,0.1,0.3143858279421157
39,3.0678586959838867,0.1,0.41764226843873825
40,3.0593953132629395,0.1,0.42280806189789805
41,3.0749950408935547,0.1,0.34434115186369463
42,3.0225610733032227,0.1,0.40416327123795087
43,3.0369107723236084,0.1,0.3963268208314516
44,3.070692539215088,0.1,0.5290333639848497
45,3.0207130908966064,0.1,0.4211084173587149
46,3.0326220989227295,0.1,0.46413467067337694
47,3.011873245239258,0.1,0.553859211366966
48,3.020514965057373,0.1,0.48564870849996633
49,3.002058982849121,0.1,0.48056880903605537
50,2.957376480102539,0.1,0.47942707620929687
51,2.9956283569335938,0.1,0.4713058149512137
52,2.9830923080444336,0.1,0.4815286798920619
53,2.989506244659424,0.1,0.5039904637934068
54,2.955852508544922,0.1,0.4530399874231576
55,2.9483561515808105,0.1,0.48346548212112145
56,3.009761333465576,0.1,0.5900825055016896
57,2.935800075531006,0.1,0.4788415525241531
58,2.939877510070801,0.1,0.5170891058785638
59,2.9274520874023438,0.1,0.49708437088840923
60,2.932823657989502,0.1,0.5823424400944628
61,2.8974838256835938,0.1,0.4904237274610523
62,2.9324185848236084,0.1,0.5333629378661505
63,2.9366626739501953,0.1,0.5939113556680703
64,2.877551555633545,0.1,0.6760014473917427
65,2.9338977336883545,0.1,0.5948530931793946
66,2.8580703735351562,0.1,0.626401121046785
67,2.8968520164489746,0.1,0.5982775220813658
68,2.8976645469665527,0.1,0.7274294656441577
69,2.89133620262146,0.1,0.6658644314016344
70,2.867905616760254,0.1,0.6091003975636106
71,2.9120049476623535,0.1,0.651912583441812
72,2.876821994781494,0.1,0.6911412098939328
73,2.8276586532592773,0.1,0.7498028316392612
74,2.8676857948303223,0.1,0.6966707606668469
75,2.817479133605957,0.1,0.6870115273866979
76,2.806196689605713,0.1,0.7450784917963962
77,2.790943145751953,0.1,0.694916954147459
78,2.8644580841064453,0.1,0.6837629533715882
79,2.804434061050415,0.1,0.655017969110347
80,2.807023525238037,0.1,0.7787358817790815
81,2.7756564617156982,0.1,0.6202096369375949
82,2.80918550491333,0.1,0.696524717450962
83,2.8081939220428467,0.1,0.6822334882798448
84,2.7873482704162598,0.1,0.5992998018916431
85,2.743004560470581,0.1,0.6540490333977048
86,2.72890043258667,0.1,0.6746911478615794
87,2.741213083267212,0.1,0.6782157051692619
88,2.7383475303649902,0.1,0.7338261713994464
89,2.731375217437744,0.1,0.913846195789127
90,2.72178053855896,0.1,0.7411053004203926
91,2.7109649181365967,0.1,0.6955902936362213
92,2.687562942504883,0.1,0.6959081598440018
93,2.7460336685180664,0.1,0.7441762141999854
94,2.6445586681365967,0.1,0.7574045711238384
95,2.6680707931518555,0.1,0.7335600335838705
96,2.6389691829681396,0.1,0.7351671393979905
97,2.6785173416137695,0.1,0.7634987223515535
98,2.702317237854004,0.1,0.8269713046611066
99,2.693450927734375,0.1,0.84999517667784
100,2.638411521911621,0.1,0.7371582550420488
101,2.706122398376465,0.1,0.8394534836318075
102,2.6613759994506836,0.1,0.856703926010988
103,2.6521313190460205,0.1,0.8149236610160931
104,2.6754488945007324,0.1,0.848229653856746
105,2.607802629470825,0.1,0.7918904860149847
106,2.648308038711548,0.1,0.8205826452310953
107,2.668793201446533,0.1,0.7819277408630207
108,2.573286533355713,0.1,0.7384346681369266
109,2.567131996154785,0.1,0.7480275732755007
110,2.632934808731079,0.1,0.7938579131197433
111,2.559687614440918,0.1,0.7274165412022062
112,2.5715718269348145,0.1,0.7083422022187091
113,2.5601162910461426,0.1,0.799451628813417
114,2.447370767593384,0.1,0.7691913955783596
115,2.528446912765503,0.1,0.7947464187936714
116,2.555511951446533,0.1,0.8075818976229896
117,2.5189874172210693,0.1,0.8295116185494499
118,2.515622854232788,0.1,0.8468600225201004
119,2.5928680896759033,0.1,0.8721120638345551
120,2.4762449264526367,0.1,0.8168600635855157
121,2.4562251567840576,0.1,0.7495451373197889
122,2.5422635078430176,0.1,0.8856794512239728
123,2.522402763366699,0.1,0.8488122285080689
124,2.5278685092926025,0.1,0.8694371282538873
125,2.4998090267181396,0.1,0.8513724829963862
126,2.463526725769043,0.1,0.833597430758807
127,2.4695661067962646,0.1,0.7682758875709108
128,2.4034290313720703,0.1,0.8264137891704427
129,2.4941742420196533,0.1,0.8866099924073876
130,2.435811996459961,0.1,0.859574898787592
131,2.4589362144470215,0.1,0.8612914212526367
132,2.405792236328125,0.1,0.7953248257357972
133,2.427276849746704,0.1,0.946700942848846
134,2.4104971885681152,0.1,0.8126060870583778
135,2.4645636081695557,0.1,0.9529036604720282
136,2.451481580734253,0.1,0.906284007266951
137,2.4361355304718018,0.1,0.9039089069921589
138,2.4389114379882812,0.1,0.8773960669767814
139,2.390496253967285,0.1,0.8686945905722927
140,2.4990882873535156,0.1,0.8659485857981958
141,2.377609968185425,0.1,0.8622040714668306
142,2.436603307723999,0.1,0.7909105966826663
143,2.377943277359009,0.1,0.8565757822562692
144,2.413757562637329,0.1,0.9086351540625245
145,2.4289751052856445,0.1,1.08647578574816
146,2.395206928253174,0.1,0.8174627720143204
147,2.394089698791504,0.1,0.819130080272976
148,2.365370273590088,0.1,0.8726959375908242
149,2.426130771636963,0.1,0.9593601732586845
150,2.41239333152771,0.1,0.9499246807146257
151,2.392118453979492,0.1,1.0525299388378437
152,2.292888641357422,0.1,0.8795429920308689
153,2.383366107940674,0.1,0.9441909653742832
